Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,24.940001,24.950001,24.48,24.530001,17714100,22.781819
2009-12-30,24.92,25.049999,24.700001,24.93,18697400,23.153312
2009-12-29,25.01,25.110001,24.91,25.01,16214100,23.227611
2009-12-28,24.83,24.99,24.719999,24.969999,15927500,23.190461
2009-12-24,24.719999,24.959999,24.67,24.950001,7782700,23.171887
2009-12-23,24.459999,24.75,24.360001,24.73,19257800,22.967565
2009-12-22,24.51,24.629999,24.24,24.459999,23847200,22.716807
2009-12-21,24.389999,24.57,24.219999,24.43,26935500,22.688946
2009-12-18,24.01,24.74,23.98,24.34,88246400,22.60536
2009-12-17,23.07,23.190001,22.77,22.879999,35972600,21.249409
2009-12-16,23.35,23.459999,23.08,23.120001,30037100,21.472306
2009-12-15,23.110001,23.459999,23.059999,23.16,24653700,21.509455
2009-12-14,22.959999,23.440001,22.91,23.309999,32293900,21.648764
2009-12-11,22.700001,22.860001,22.49,22.780001,26741900,21.156537
2009-12-10,22.33,22.67,22.23,22.59,34877300,20.980077
2009-12-09,21.99,22.02,21.620001,21.950001,28550400,20.385689
2009-12-08,22.309999,22.360001,21.889999,21.91,27902700,20.348538
2009-12-07,22.719999,22.889999,22.35,22.48,24138100,20.877916
2009-12-04,22.809999,23.00,22.549999,22.83,27814200,21.202973
2009-12-03,22.66,22.91,22.60,22.639999,22492500,21.026513
2009-12-02,22.530001,22.75,22.41,22.66,21160800,21.045088
2009-12-01,22.16,22.57,22.08,22.440001,28447900,20.840767
2009-11-30,22.01,22.15,21.799999,22.08,26291700,20.506423
2009-11-27,22.16,22.299999,22.00,22.09,12569100,20.515711
2009-11-25,22.34,22.719999,22.200001,22.60,24123500,20.989365
2009-11-24,22.700001,22.700001,22.09,22.139999,24232600,20.562147
2009-11-23,22.58,22.719999,22.450001,22.60,22713600,20.989365
2009-11-20,22.27,22.389999,22.18,22.34,24493900,20.747894
2009-11-19,22.690001,22.709999,22.23,22.389999,17651800,20.79433
2009-11-18,22.66,22.82,22.540001,22.799999,14827600,21.17511
2009-11-17,22.709999,22.799999,22.60,22.799999,26126600,21.17511
2009-11-16,22.360001,22.889999,22.299999,22.83,33383000,21.202973
2009-11-13,22.049999,22.360001,21.950001,22.34,24660700,20.747894
2009-11-12,22.01,22.129999,21.940001,22.040001,24305100,20.469275
2009-11-11,21.83,22.049999,21.75,21.90,19488200,20.339251
2009-11-10,21.639999,21.879999,21.60,21.799999,22687100,20.246377
2009-11-09,21.610001,21.870001,21.50,21.83,22678100,20.27424
2009-11-06,21.17,21.58,21.110001,21.42,22995100,19.893459
2009-11-05,21.18,21.52,21.110001,21.32,22058800,19.800586
2009-11-04,20.82,21.200001,20.65,20.90,32398300,19.410518
2009-11-03,21.00,21.059999,20.65,20.889999,20646000,19.40123
2009-11-02,21.059999,21.219999,20.799999,21.09,27906900,19.586978
2009-10-30,21.32,21.610001,21.049999,21.10,37101800,19.596265
2009-10-29,21.42,21.469999,21.200001,21.450001,32212000,19.921322
2009-10-28,21.290001,21.50,20.870001,21.299999,30525600,19.782011
2009-10-27,21.870001,22.23,21.799999,21.870001,28669700,20.31139
2009-10-26,22.129999,22.379999,21.85,21.99,28175900,20.422837
2009-10-23,22.26,22.469999,21.950001,22.049999,31577900,20.47856
2009-10-22,21.950001,22.26,21.83,22.190001,27044900,20.608584
2009-10-21,22.10,22.40,22.00,22.030001,31267500,20.459987
2009-10-20,22.23,22.34,21.90,22.190001,35900300,20.608584
2009-10-19,22.02,22.49,21.870001,22.42,51697400,20.822192
2009-10-16,21.200001,22.030001,21.18,21.809999,65051600,20.255665
2009-10-15,21.049999,21.32,20.99,21.32,30361300,19.800586
2009-10-14,21.17,21.50,21.120001,21.190001,41225400,19.679851
2009-10-13,20.75,20.98,20.65,20.91,27852300,19.419805
2009-10-12,20.73,20.92,20.60,20.719999,32400900,19.243346
2009-10-09,20.74,21.030001,20.66,20.74,39813300,19.261921
2009-10-08,20.65,21.059999,20.59,20.799999,46644500,19.271207
2009-10-07,20.52,20.950001,20.469999,20.57,41754000,19.058113
2009-10-06,20.469999,20.60,20.299999,20.540001,37202700,19.030319
2009-10-05,20.459999,20.68,20.16,20.389999,34471700,18.891342
2009-10-02,20.25,20.639999,20.24,20.34,41680500,18.845018
2009-10-01,20.73,20.75,20.10,20.360001,45924800,18.863548
2009-09-30,21.17,21.200001,20.65,20.84,44303900,19.308268
2009-09-29,21.120001,21.379999,21.10,21.120001,23280900,19.567689
2009-09-28,20.870001,21.34,20.83,21.17,28379500,19.614013
2009-09-25,21.10,21.200001,20.83,20.860001,35144400,19.326798
2009-09-24,21.16,21.35,21.059999,21.17,28392800,19.614013
2009-09-23,21.469999,21.469999,21.049999,21.129999,40677800,19.576952
2009-09-22,21.59,21.709999,21.35,21.41,34159300,19.836373
2009-09-21,21.559999,21.82,21.50,21.57,25487400,19.984613
2009-09-18,21.719999,21.870001,21.57,21.620001,70094400,20.030939
2009-09-17,21.42,21.76,21.32,21.52,92155400,19.938289
2009-09-16,22.60,22.610001,21.98,22.129999,86377100,20.503453
2009-09-15,22.73,22.879999,22.60,22.66,24791100,20.994498
2009-09-14,22.780001,22.93,22.60,22.719999,24067800,21.050088
2009-09-11,22.82,22.950001,22.67,22.860001,22601200,21.179799
2009-09-10,22.57,22.799999,22.459999,22.76,23557100,21.087149
2009-09-09,21.969999,22.58,21.879999,22.52,31035100,20.864789
2009-09-08,22.120001,22.120001,21.77,21.879999,24532500,20.271828
2009-09-04,21.57,22.10,21.540001,21.969999,17831800,20.355213
2009-09-03,21.57,21.60,21.219999,21.559999,28597100,19.975348
2009-09-02,21.83,22.030001,21.68,21.77,21034500,20.169914
2009-09-01,21.77,22.309999,21.67,21.940001,34860200,20.327419
2009-08-31,22.00,22.190001,21.73,21.879999,26421900,20.271828
2009-08-28,22.299999,22.610001,22.10,22.16,23965200,20.531248
2009-08-27,22.16,22.209999,21.780001,22.16,20012300,20.531248
2009-08-26,22.17,22.26,22.00,22.200001,18779300,20.568309
2009-08-25,22.49,22.549999,22.200001,22.23,30600400,20.596103
2009-08-24,22.129999,22.49,22.040001,22.32,22218700,20.679488
2009-08-21,22.139999,22.139999,21.74,22.110001,29644200,20.484924
2009-08-20,21.719999,22.049999,21.610001,21.940001,21178600,20.327419
2009-08-19,21.32,21.84,21.200001,21.780001,22257400,20.179179
2009-08-18,21.450001,21.959999,21.309999,21.58,16120100,19.993878
2009-08-17,21.65,21.75,21.370001,21.40,19838400,19.827108
2009-08-14,21.889999,22.08,21.66,21.959999,24254700,20.345947
2009-08-13,21.940001,22.030001,21.77,21.99,25740300,20.373743
2009-08-12,21.299999,22.10,21.25,21.879999,34000100,20.271828
2009-08-11,21.08,21.41,21.030001,21.280001,25855600,19.715929
2009-08-10,21.209999,21.41,21.030001,21.25,19521600,19.688133
2009-08-07,21.43,21.84,21.370001,21.43,25561400,19.854903
2009-08-06,21.42,21.940001,21.09,21.209999,28036000,19.651072
2009-08-05,21.83,21.85,21.18,21.440001,36001800,19.864169
2009-08-04,22.24,22.280001,21.68,21.889999,28735000,20.281093
2009-08-03,22.32,22.379999,22.00,22.299999,24046200,20.660958
2009-07-31,22.16,22.42,22.07,22.129999,24391100,20.503453
2009-07-30,22.24,22.469999,21.91,22.139999,28861800,20.512718
2009-07-29,22.129999,22.280001,21.83,22.01,21026500,20.392274
2009-07-28,21.860001,22.32,21.719999,22.24,26375300,20.605368
2009-07-27,22.290001,22.309999,21.75,21.98,23778600,20.364478
2009-07-24,21.940001,22.48,21.91,22.33,24623700,20.688753
2009-07-23,21.65,22.40,21.59,22.200001,33195600,20.568309
2009-07-22,21.84,21.98,21.629999,21.75,26150500,20.151383
2009-07-21,21.969999,22.00,21.43,21.93,36397100,20.318154
2009-07-20,21.700001,21.83,21.34,21.51,28079300,19.929023
2009-07-17,21.690001,21.74,21.40,21.74,21094800,20.142118
2009-07-16,21.57,21.77,21.34,21.639999,24399500,20.049468
2009-07-15,20.82,21.530001,20.77,21.51,32308800,19.929023
2009-07-14,20.639999,20.719999,20.280001,20.629999,22065800,19.113702
2009-07-13,20.52,20.73,20.120001,20.719999,26523000,19.197087
2009-07-10,20.200001,20.629999,20.190001,20.49,22410400,18.937667
2009-07-09,20.540001,20.77,20.18,20.32,31907000,18.780547
2009-07-08,20.209999,20.790001,19.790001,20.57,55776800,19.011607
2009-07-07,20.67,20.780001,20.120001,20.18,35542700,18.651154
2009-07-06,20.92,21.040001,20.50,20.67,37209100,19.104031
2009-07-02,21.33,21.34,20.860001,21.040001,27417800,19.446
2009-07-01,21.629999,22.00,21.620001,21.74,28169700,20.092967
2009-06-30,21.50,21.75,21.280001,21.42,32109600,19.797211
2009-06-29,21.34,21.709999,21.219999,21.50,28022200,19.87115
2009-06-26,21.540001,21.540001,21.15,21.24,37033500,19.630847
2009-06-25,21.25,21.709999,21.129999,21.629999,49521000,19.9913
2009-06-24,20.860001,21.75,20.780001,21.26,99417800,19.649332
2009-06-23,20.209999,20.209999,19.73,19.870001,39341200,18.36464
2009-06-22,20.42,20.75,19.93,19.969999,38852500,18.457063
2009-06-19,20.42,20.92,20.370001,20.66,51092900,19.094788
2009-06-18,20.17,20.459999,19.98,20.25,34591500,18.71585
2009-06-17,19.719999,20.17,19.700001,19.940001,33324200,18.429336
2009-06-16,20.18,20.27,19.68,19.690001,41410900,18.198277
2009-06-15,20.639999,20.65,20.00,20.219999,40579100,18.688122
2009-06-12,20.85,21.00,19.469999,20.85,23154700,19.270394
2009-06-11,20.66,21.200001,20.66,20.940001,26073600,19.353576
2009-06-10,21.059999,21.190001,20.43,20.74,33270900,19.168727
2009-06-09,20.950001,21.200001,20.83,20.99,23790000,19.399787
2009-06-08,20.60,21.07,20.530001,20.870001,34885600,19.288879
2009-06-05,20.82,20.90,20.51,20.709999,26652000,19.141
2009-06-04,20.34,20.67,20.26,20.610001,30251800,19.048577
2009-06-03,20.24,20.51,20.09,20.34,27013500,18.799032
2009-06-02,19.77,20.440001,19.77,20.35,31008500,18.808275
2009-06-01,19.75,20.02,19.60,19.92,31616300,18.410851
2009-05-29,19.280001,19.60,19.16,19.59,42625200,18.105852
2009-05-28,19.01,19.370001,18.83,19.209999,25588900,17.75464
2009-05-27,18.98,19.450001,18.91,18.99,27633200,17.551308
2009-05-26,18.459999,19.200001,18.280001,19.07,28315900,17.625247
2009-05-22,18.58,19.09,18.440001,18.65,24378600,17.237067
2009-05-21,18.76,18.83,18.35,18.57,26281200,17.163128
2009-05-20,19.08,19.40,18.879999,18.940001,29082600,17.505097
2009-05-19,18.790001,19.209999,18.77,18.969999,23414200,17.532823
2009-05-18,18.690001,18.940001,18.469999,18.92,22953400,17.486612
2009-05-15,18.59,18.74,18.35,18.42,22884500,17.024492
2009-05-14,18.24,18.58,18.10,18.459999,26242700,17.061461
2009-05-13,18.15,18.34,17.969999,18.07,29146000,16.701008
2009-05-12,18.639999,18.67,18.08,18.379999,33700100,16.987522
2009-05-11,18.15,18.83,18.040001,18.559999,32102300,17.153885
2009-05-08,18.60,18.780001,18.120001,18.32,41125900,16.932068
2009-05-07,18.99,19.15,18.190001,18.42,54151100,17.024492
2009-05-06,19.15,19.190001,18.690001,19.059999,27110300,17.616005
2009-05-05,19.17,19.190001,18.67,19.01,29366500,17.569793
2009-05-04,19.40,19.440001,18.959999,18.969999,38586500,17.532823
2009-05-01,19.35,19.440001,19.120001,19.34,20402200,17.874792
2009-04-30,19.75,19.940001,19.040001,19.34,49416900,17.874792
2009-04-29,19.450001,19.799999,19.41,19.60,28310800,18.115095
2009-04-28,19.57,19.93,19.51,19.74,25051800,18.244488
2009-04-27,19.59,20.280001,19.52,19.77,29389700,18.272216
2009-04-24,19.75,20.18,19.65,19.790001,42970200,18.290701
2009-04-23,19.40,19.709999,19.139999,19.68,36144600,18.189034
2009-04-22,19.52,19.75,19.09,19.35,40035100,17.884035
2009-04-21,18.780001,19.85,18.639999,19.530001,66973800,18.050398
2009-04-20,17.76,19.08,17.73,18.82,84059500,17.394187
2009-04-17,19.24,19.450001,18.73,19.059999,32850100,17.616005
2009-04-16,18.809999,19.290001,18.58,19.18,30286800,17.726914
2009-04-15,18.690001,18.74,18.110001,18.59,28350500,17.181613
2009-04-14,18.77,19.01,18.610001,18.870001,30604400,17.4404
2009-04-13,18.870001,19.23,18.860001,19.059999,21743200,17.616005
2009-04-09,18.83,19.200001,18.790001,19.110001,25806100,17.662218
2009-04-08,18.690001,18.76,18.33,18.57,25522400,17.163128
2009-04-07,18.790001,18.860001,18.360001,18.540001,29049200,17.135401
2009-04-06,19.00,19.110001,18.690001,19.110001,29302100,17.662218
2009-04-03,18.879999,19.450001,18.870001,19.290001,40966900,17.782369
2009-04-02,18.93,19.299999,18.65,18.82,46061500,17.349102
2009-04-01,17.860001,18.68,17.73,18.58,37135900,17.127859
2009-03-31,17.93,18.389999,17.82,18.07,34583400,16.657719
2009-03-30,17.66,17.700001,17.25,17.66,33143900,16.279763
2009-03-27,18.450001,18.450001,17.93,18.01,34232800,16.602409
2009-03-26,18.25,18.68,18.18,18.68,34216000,17.220044
2009-03-25,18.030001,18.34,17.700001,18.09,34714200,16.676156
2009-03-24,17.90,18.219999,17.700001,17.91,32228100,16.510224
2009-03-23,17.34,18.25,17.26,18.25,46048300,16.823651
2009-03-20,17.50,17.709999,17.00,17.10,75071700,15.763531
2009-03-19,17.559999,18.09,17.35,17.370001,112624400,16.012429
2009-03-18,15.15,16.09,15.07,15.83,58521300,14.592789
2009-03-17,14.93,15.60,14.65,15.40,52106400,14.196395
2009-03-16,15.54,15.80,14.83,14.90,39883700,13.735474
2009-03-13,15.65,15.70,15.28,15.56,30867300,14.343891
2009-03-12,15.35,15.68,15.08,15.63,27419900,14.40842
2009-03-11,15.28,15.46,14.73,15.34,46562000,14.141085
2009-03-10,14.17,15.19,14.00,15.09,58945900,13.910624
2009-03-09,14.31,14.70,13.80,13.85,60034700,12.767538
2009-03-06,14.60,14.86,14.14,14.47,52932400,13.339081
2009-03-05,14.94,15.28,14.52,14.53,67101400,13.394391
2009-03-04,15.40,15.48,14.85,14.96,71256500,13.790785
2009-03-03,15.40,15.45,14.97,15.01,39128500,13.836877
2009-03-02,15.21,15.69,15.14,15.20,47340600,14.012027
2009-02-27,15.50,15.83,15.41,15.54,52301300,14.325454
2009-02-26,16.370001,16.370001,15.78,15.78,36230900,14.546696
2009-02-25,16.379999,16.57,16.01,16.24,33469700,14.970745
2009-02-24,15.77,16.50,15.75,16.440001,37697900,15.155114
2009-02-23,16.52,16.68,15.82,15.86,32342400,14.620444
2009-02-20,16.639999,16.75,16.34,16.559999,46460000,15.265734
2009-02-19,17.34,17.370001,16.799999,16.83,32818200,15.514633
2009-02-18,17.07,17.51,17.00,17.24,41327900,15.892588
2009-02-17,17.15,17.34,16.809999,16.959999,41029500,15.634471
2009-02-13,17.51,17.959999,17.43,17.719999,27489800,16.335073
2009-02-12,17.549999,17.610001,16.940001,17.549999,42572500,16.17836
2009-02-11,17.65,18.01,17.57,17.799999,28637900,16.40882
2009-02-10,17.82,18.09,17.24,17.58,44734500,16.206015
2009-02-09,17.950001,18.09,17.82,18.049999,23314600,16.639281
2009-02-06,17.690001,18.07,17.48,17.969999,29569000,16.565534
2009-02-05,16.860001,17.700001,16.74,17.620001,35402800,16.24289
2009-02-04,17.15,17.629999,17.049999,17.209999,26574100,15.864932
2009-02-03,16.85,17.059999,16.50,17.049999,31190700,15.717438
2009-02-02,16.60,17.10,16.51,16.90,25466300,15.579161
2009-01-30,17.620001,17.76,16.790001,16.83,33537000,15.514633
2009-01-29,17.67,17.870001,17.26,17.59,27538600,16.215234
2009-01-28,17.709999,18.01,17.440001,17.84,32607600,16.445695
2009-01-27,17.02,17.43,16.98,17.280001,27379200,15.929463
2009-01-26,16.82,17.360001,16.780001,16.959999,27890000,15.634471
2009-01-23,16.43,17.02,16.389999,16.780001,34362500,15.468541
2009-01-22,16.43,16.93,16.41,16.65,36650800,15.3487
2009-01-21,16.40,16.92,16.25,16.889999,56144800,15.569943
2009-01-20,16.90,16.98,16.049999,16.10,34055200,14.841687
2009-01-16,16.74,17.059999,16.41,16.91,38250300,15.58838
2009-01-15,16.33,16.68,15.87,16.530001,45102600,15.23808
2009-01-14,16.870001,16.92,16.18,16.360001,39968400,15.081367
2009-01-13,17.00,17.32,16.91,17.139999,32780400,15.800404
2009-01-12,17.41,17.469999,16.84,17.049999,34575200,15.717438
2009-01-09,17.709999,17.709999,17.25,17.360001,32028400,16.00321
2009-01-08,17.50,17.67,17.309999,17.620001,35148700,16.24289
2009-01-07,18.059999,18.25,17.48,17.65,38635700,16.270544
2009-01-06,18.17,18.700001,18.030001,18.389999,29856600,16.952709
2009-01-05,18.190001,18.25,17.860001,18.09,28309400,16.676156
2009-01-02,17.639999,18.48,17.620001,18.41,27833600,16.971146
